"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocksgreen",NA
"2",2011,"Birmingham","Adderlystreet",NA
"3",2011,"Birmingham","Alcesterraodmosley",NA
"4",2011,"Birmingham","Alcesterroad",NA
"5",2011,"Birmingham","Alcesterroadmoseley",NA
"6",2011,"Birmingham","Alcesterroadmoseley",NA
"7",2011,"Birmingham","Alfredstreet",NA
"8",2011,"Birmingham","Allserviceclubmosley",NA
"9",2011,"Birmingham","Alumrockroad",NA
"10",2011,"Birmingham","Alumrockroad",NA
"11",2011,"Birmingham","Alumrockroad",NA
"12",2011,"Birmingham","Alumrockroad",NA
"13",2011,"Birmingham","Arcadiancentre",NA
"14",2011,"Birmingham","Ardenroadsaltley",NA
"15",2011,"Birmingham","Asdachemsleywood",NA
"16",2011,"Birmingham","Balsahllheathparkj/WBrightonroad",NA
"17",2011,"Birmingham","Bamfordroad",NA
"18",2011,"Birmingham","Bamfordroad",NA
"19",2011,"Birmingham","Beechbrookavenuesparkhill",NA
"20",2011,"Birmingham","Belcherslane",NA
"21",2011,"Birmingham","Belcherslane",NA
"22",2011,"Birmingham","Belcherslane",NA
"23",2011,"Birmingham","Belcherslanebordesleygreen",NA
"24",2011,"Birmingham","Bellstreet",NA
"25",2011,"Birmingham","Berkleyrdeasthaymills",NA
"26",2011,"Birmingham","Birminghamairport",NA
"27",2011,"Birmingham","Birminghaminternationalrailwaystation",NA
"28",2011,"Birmingham","Bordesleygreen",NA
"29",2011,"Birmingham","Bordesleygreenbordesleygreen",NA
"30",2011,"Birmingham","Bristolroad",NA
"31",2011,"Birmingham","Bristolstreet",NA
"32",2011,"Birmingham","Broadstreet",NA
"33",2011,"Birmingham","Broadstreet",NA
"34",2011,"Birmingham","Broadstreetbirmingham",NA
"35",2011,"Birmingham","Bucklandendlaneshardend",NA
"36",2011,"Birmingham","Bullsheadphstmarysrow",NA
"37",2011,"Birmingham","Bushburyroadkittsgreen",NA
"38",2011,"Birmingham","Charticeroad",NA
"39",2011,"Birmingham","Chestnutroad",NA
"40",2011,"Birmingham","Churchrdstechford",NA
"41",2011,"Birmingham","Churchroadsheldon",NA
"42",2011,"Birmingham","Cliffordrddorridge",NA
"43",2011,"Birmingham","Clocklane",NA
"44",2011,"Birmingham","Colonialroadbordesleygreen",NA
"45",2011,"Birmingham","Corporationstbirmingham",NA
"46",2011,"Birmingham","Corporationstreet",NA
"47",2011,"Birmingham","Coventryrdsmallheath",NA
"48",2011,"Birmingham","Coventryrdsmallheathbham",NA
"49",2011,"Birmingham","Coventryroad",NA
"50",2011,"Birmingham","Coventryroad",NA
"51",2011,"Birmingham","Coventryroad",NA
"52",2011,"Birmingham","Coventryroad",NA
"53",2011,"Birmingham","Coventryroad",NA
"54",2011,"Birmingham","Coventryroadsmallheath",NA
"55",2011,"Birmingham","Coventryroadsmallheath",NA
"56",2011,"Birmingham","Coventryroadsmallheath",NA
"57",2011,"Birmingham","Cranesparkroad",NA
"58",2011,"Birmingham","Cranesparkroadsheldon",NA
"59",2011,"Birmingham","Crossfieldroad",NA
"60",2011,"Birmingham","Crossfieldsroadkittsgreen",NA
"61",2011,"Birmingham","Cxhurchrdstechfordbham",NA
"62",2011,"Birmingham","Digbethhighstreet",NA
"63",2011,"Birmingham","Edgbastonroad",NA
"64",2011,"Birmingham","Edwardroadmoseley",NA
"65",2011,"Birmingham","Fightingcoxph",NA
"66",2011,"Birmingham","Foremansroadsparkhill",NA
"67",2011,"Birmingham","Frontofficekingsheath",NA
"68",2011,"Birmingham","Garrettsgreenroadgarrettsgreen",NA
"69",2011,"Birmingham","Gilesclose",NA
"70",2011,"Birmingham","Gilesclosestechford",NA
"71",2011,"Birmingham","Glazedaleroad",NA
"72",2011,"Birmingham","Gospelfarmroad",NA
"73",2011,"Birmingham","Gospelfarmroad",NA
"74",2011,"Birmingham","Gospellane",NA
"75",2011,"Birmingham","Gospellane",NA
"76",2011,"Birmingham","Gospellane",NA
"77",2011,"Birmingham","Gospellaneacocksgreen",NA
"78",2011,"Birmingham","Gracechurchsuttoncoldfield",NA
"79",2011,"Birmingham","Greathamptonstreet",NA
"80",2011,"Birmingham","Greenlane",NA
"81",2011,"Birmingham","Greswelllaneshardend",NA
"82",2011,"Birmingham","Harlequindrivemosley",NA
"83",2011,"Birmingham","Haslucksgreenroad",NA
"84",2011,"Birmingham","Hazeldeanroad",NA
"85",2011,"Birmingham","Heartlandshospital",NA
"86",2011,"Birmingham","Heartlandshospital",NA
"87",2011,"Birmingham","Heartlandshospitalae",NA
"88",2011,"Birmingham","Heartlandshospitalae",NA
"89",2011,"Birmingham","Heartlandshospitalae",NA
"90",2011,"Birmingham","Hepbengrove",NA
"91",2011,"Birmingham","Herrickroad",NA
"92",2011,"Birmingham","Herrickroadwashwoodheath",NA
"93",2011,"Birmingham","Herrickroadwashwoodheath",NA
"94",2011,"Birmingham","Highstsolihull",NA
"95",2011,"Birmingham","Highstreetkingsheath",NA
"96",2011,"Birmingham","Highstreetkingsheath",NA
